Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,368560.000000,370873.000000,368560.000000,370500.000000,370500.000000,500
2021-02-18,368885.000000,370000.000000,364760.000000,367400.000000,367400.000000,1300
2021-02-19,368865.000000,369334.000000,364000.000000,364400.000000,364400.000000,1300
2021-02-22,363380.000000,371000.000000,362860.000000,369250.000000,369250.000000,1700
2021-02-23,370488.000000,371800.000000,367236.000000,371055.000000,371055.000000,2900
2021-02-24,371183.000000,376315.000000,371123.000000,375000.000000,375000.000000,2600
2021-02-25,375233.000000,377357.000000,366401.000000,367800.000000,367800.000000,2200
2021-02-26,370220.000000,374490.000000,363680.000000,364580.000000,364580.000000,1900
2021-03-01,372555.000000,378523.000000,372176.000000,377755.000000,377755.000000,2900
2021-03-02,378323.000000,380000.000000,376933.000000,377835.000000,377835.000000,2300
2021-03-03,377573.000000,385000.000000,377500.000000,381680.000000,381680.000000,2400
2021-03-04,380443.000000,382254.000000,368430.000000,370240.000000,370240.000000,2600
2021-03-05,375823.000000,383500.000000,373595.000000,381600.000000,381600.000000,2500
2021-03-08,385571.000000,391853.000000,383700.000000,388560.000000,388560.000000,3000
2021-03-09,391168.000000,397400.000000,385800.000000,391460.000000,391460.000000,3200
2021-03-10,394113.000000,407750.000000,392015.000000,398840.000000,398840.000000,4200
2021-03-11,402495.000000,402503.000000,395062.000000,396399.000000,396399.000000,3100
2021-03-12,397900.000000,401171.000000,394701.000000,394701.000000,394701.000000,2400
2021-03-15,395785.000000,395890.000000,385131.000000,386400.000000,386400.000000,3000
2021-03-16,387095.000000,387155.000000,379212.000000,382720.000000,382720.000000,100
2021-03-17,382530.000000,385832.000000,380685.000000,381501.000000,381501.000000,3300
2021-03-18,384998.000000,388630.000000,381000.000000,383525.000000,383525.000000,2400
2021-03-19,382320.000000,383613.000000,377500.000000,382698.000000,382698.000000,2500
2021-03-22,381808.000000,382352.000000,378393.000000,380403.000000,380403.000000,2400
2021-03-23,379062.000000,382000.000000,376077.000000,377440.000000,377440.000000,1500
2021-03-24,379202.000000,382155.000000,377520.000000,378000.000000,378000.000000,1600
2021-03-25,378035.000000,382600.000000,374483.000000,378700.000000,378700.000000,1700
2021-03-26,383298.000000,390000.000000,381382.000000,387995.000000,387995.000000,1500
2021-03-29,384053.000000,393484.000000,383923.000000,391540.000000,391540.000000,2000
2021-03-30,393665.000000,394300.000000,388811.000000,390360.000000,390360.000000,1800
2021-03-31,388813.000000,390300.000000,385702.000000,385702.000000,385702.000000,1700
2021-04-01,387979.000000,390984.000000,385702.000000,390360.000000,390360.000000,1500
2021-04-05,392700.000000,396770.000000,392400.000000,395535.000000,395535.000000,1800
2021-04-06,395913.000000,397890.000000,394838.000000,396900.000000,396900.000000,1300
2021-04-07,395730.000000,398000.000000,394500.000000,395888.000000,395888.000000,300
2021-04-08,395476.000000,396985.000000,393973.000000,396001.000000,396001.000000,1100
2021-04-09,397126.000000,400000.000000,396122.000000,400000.000000,400000.000000,1400
2021-04-12,401426.000000,403421.000000,400734.000000,402620.000000,402620.000000,2000
2021-04-13,401668.000000,403474.000000,400372.000000,402500.000000,402500.000000,1800
2021-04-14,402789.000000,404150.000000,402000.000000,403000.000000,403000.000000,1800
2021-04-15,403338.000000,404999.000000,400835.000000,404789.000000,404789.000000,1700
2021-04-16,405752.000000,410400.000000,405752.000000,409250.000000,409250.000000,3000
2021-04-19,410748.000000,410748.000000,404676.000000,406505.000000,406505.000000,2200
2021-04-20,404610.000000,405340.000000,401749.000000,403089.000000,403089.000000,1700
2021-04-21,403656.000000,410165.000000,403603.000000,410153.000000,410153.000000,1700
2021-04-22,409935.000000,410000.000000,405256.000000,405901.000000,405901.000000,1800
2021-04-23,407088.000000,410738.000000,406611.000000,408840.000000,408840.000000,1700
2021-04-26,410493.000000,412474.000000,407250.000000,407527.000000,407527.000000,1900
2021-04-27,408144.000000,412229.000000,406482.000000,411400.000000,411400.000000,1500
2021-04-28,410514.000000,411811.000000,409355.000000,410988.000000,410988.000000,1600
2021-04-29,412758.000000,417905.000000,412000.000000,417905.000000,417905.000000,2000
2021-04-30,415438.000000,417144.000000,412000.000000,412500.000000,412500.000000,2100
2021-05-03,418962.000000,422648.000000,417272.000000,420000.000000,420000.000000,3100
2021-05-04,419095.000000,421850.000000,410850.000000,421420.000000,421420.000000,2600
2021-05-05,425220.000000,427435.000000,424306.000000,424840.000000,424840.000000,3000
2021-05-06,426700.000000,435744.000000,426700.000000,435120.000000,435120.000000,3200
2021-05-07,436188.000000,445000.000000,432827.000000,437131.000000,437131.000000,2700
2021-05-10,439132.000000,443275.000000,439132.000000,439460.000000,439460.000000,3200
2021-05-11,435581.000000,436871.000000,427913.000000,430258.000000,430258.000000,2500
2021-05-12,428607.000000,431200.000000,423077.000000,425308.000000,425308.000000,1800
2021-05-13,425536.000000,433541.000000,424100.000000,430640.000000,430640.000000,2400
2021-05-14,433996.000000,437413.000000,433996.000000,437260.000000,437260.000000,2100
2021-05-17,435915.000000,436131.000000,432747.000000,434324.000000,434324.000000,1700
2021-05-18,435440.000000,435960.000000,431767.000000,431767.000000,431767.000000,1300
2021-05-19,426931.000000,430720.000000,424575.000000,430720.000000,430720.000000,1700
2021-05-20,432773.000000,435000.000000,429880.000000,431422.000000,431422.000000,1600
2021-05-21,431656.000000,435200.000000,431000.000000,432469.000000,432469.000000,1300
2021-05-24,435273.000000,437001.000000,433287.000000,435431.000000,435431.000000,1300
2021-05-25,437298.000000,438445.000000,431784.000000,432274.000000,432274.000000,1400
2021-05-26,434366.000000,434366.000000,429765.000000,432800.000000,432800.000000,1500
2021-05-27,433250.000000,436000.000000,431175.000000,435420.000000,435420.000000,1500
2021-05-28,435623.000000,436430.000000,433637.000000,436000.000000,436000.000000,1300
2021-06-01,438718.000000,439100.000000,434255.000000,435304.000000,435304.000000,1700
2021-06-02,437556.000000,437950.000000,434647.000000,435639.000000,435639.000000,1900
2021-06-03,433050.000000,440158.000000,433050.000000,438745.000000,438745.000000,2000
2021-06-04,441063.000000,441063.000000,437769.000000,439016.000000,439016.000000,1400
2021-06-07,440598.000000,440598.000000,433962.000000,434611.000000,434611.000000,1800
2021-06-08,435393.000000,435458.000000,429260.000000,434510.000000,434510.000000,1500
2021-06-09,434718.000000,435750.000000,431310.000000,433125.000000,433125.000000,1300
2021-06-10,435120.000000,436618.000000,427156.000000,427156.000000,427156.000000,134800
2021-06-11,428558.000000,431351.000000,428000.000000,430282.000000,430282.000000,1200
2021-06-14,430407.000000,430407.000000,423242.000000,425880.000000,425880.000000,2100
2021-06-15,427440.000000,427852.000000,424614.000000,426045.000000,426045.000000,1200
2021-06-16,425495.000000,427584.000000,422457.000000,425645.000000,425645.000000,1400
2021-06-17,426946.000000,427231.000000,417025.000000,420359.000000,420359.000000,1800
2021-06-18,415847.000000,416335.000000,409701.000000,412729.000000,412729.000000,1900
2021-06-21,414843.000000,419177.000000,414044.000000,417780.000000,417780.000000,1400
2021-06-22,418010.000000,418875.000000,415126.000000,418875.000000,418875.000000,1300
2021-06-23,416750.000000,417000.000000,413485.000000,413890.000000,413890.000000,1500
2021-06-24,414781.000000,416864.000000,413187.000000,415000.000000,415000.000000,1200
2021-06-25,417416.000000,420389.000000,414967.000000,419134.000000,419134.000000,1000
2021-06-28,420421.000000,420965.000000,415200.000000,416304.000000,416304.000000,1600
2021-06-29,417100.000000,418868.000000,414945.000000,417000.000000,417000.000000,1200
2021-06-30,415236.000000,419265.000000,415100.000000,418601.000000,418601.000000,1000
2021-07-01,418708.000000,421491.000000,417270.000000,421005.000000,421005.000000,1000
2021-07-02,423427.000000,423427.000000,419020.000000,420000.000000,420000.000000,1300
2021-07-06,419066.000000,419066.000000,414000.000000,416930.000000,416930.000000,1400
2021-07-07,415581.000000,420505.000000,415091.000000,419401.000000,419401.000000,1100
2021-07-08,416268.000000,417572.000000,411000.000000,411840.000000,411840.000000,1600
2021-07-09,414768.000000,422300.000000,414463.000000,422000.000000,422000.000000,1200
2021-07-12,420711.000000,424304.000000,418689.000000,420937.000000,420937.000000,1400
2021-07-13,421011.000000,421525.000000,418724.000000,419820.000000,419820.000000,1000
2021-07-14,419806.000000,422061.000000,418000.000000,418500.000000,418500.000000,1000
2021-07-15,417336.000000,422103.000000,417000.000000,421350.000000,421350.000000,900
2021-07-16,421981.000000,421981.000000,417113.000000,417601.000000,417601.000000,900
2021-07-19,413133.000000,414230.000000,407773.000000,410450.000000,410450.000000,1600
2021-07-20,410308.000000,418481.000000,409983.000000,416244.000000,416244.000000,1100
2021-07-21,418550.000000,422688.000000,417000.000000,420055.000000,420055.000000,1000
2021-07-22,419971.000000,420248.000000,417650.000000,417800.000000,417800.000000,900
2021-07-23,418856.000000,421413.000000,418220.000000,419000.000000,419000.000000,800
2021-07-26,418380.000000,422000.000000,418380.000000,419500.000000,419500.000000,1100
2021-07-27,419810.000000,423000.000000,417135.000000,422309.000000,422309.000000,1100
2021-07-28,422250.000000,423461.000000,418230.000000,418975.000000,418975.000000,1000
2021-07-29,419635.000000,423209.000000,419635.000000,420676.000000,420676.000000,1000
2021-07-30,421770.000000,422914.000000,418105.000000,418900.000000,418900.000000,900
2021-08-02,420985.000000,424242.000000,418287.000000,418695.000000,418695.000000,1200
2021-08-03,420576.000000,425000.000000,416965.000000,423706.000000,423706.000000,1100
2021-08-04,421988.000000,422884.000000,419743.000000,419962.000000,419962.000000,1000
2021-08-05,421358.000000,424000.000000,419000.000000,421306.000000,421306.000000,1100
2021-08-06,424426.000000,430160.000000,424103.000000,430160.000000,430160.000000,1300
2021-08-09,433056.000000,434298.000000,430486.000000,431881.000000,431881.000000,1600
2021-08-10,432690.000000,435000.000000,430470.000000,434610.000000,434610.000000,1200
2021-08-11,434655.000000,439163.000000,434655.000000,438160.000000,438160.000000,1300
2021-08-12,439121.000000,439800.000000,434846.000000,436545.000000,436545.000000,1100
2021-08-13,437935.000000,437935.000000,432057.000000,433124.000000,433124.000000,1200
2021-08-16,432443.000000,435657.000000,429462.000000,435370.000000,435370.000000,1300
2021-08-17,434530.000000,437551.000000,433136.000000,435610.000000,435610.000000,1000
2021-08-18,435175.000000,436825.000000,430651.000000,430651.000000,430651.000000,900
2021-08-19,428190.000000,431976.000000,427590.000000,428994.000000,428994.000000,1100
2021-08-20,429605.000000,430543.000000,427862.000000,430007.000000,430007.000000,800
2021-08-23,432025.000000,432528.000000,425000.000000,425000.000000,425000.000000,1000
2021-08-24,430686.000000,431800.000000,428000.000000,430700.000000,430700.000000,900
2021-08-25,431705.000000,434423.000000,429585.000000,432354.000000,432354.000000,800
2021-08-26,433588.000000,433708.000000,428957.000000,429715.000000,429715.000000,900
2021-08-27,429873.000000,431500.000000,429332.000000,430901.000000,430901.000000,700
2021-08-30,431060.000000,431949.000000,429134.000000,429720.000000,429720.000000,1000
2021-08-31,429405.000000,431000.000000,428706.000000,429900.000000,429900.000000,1000
2021-09-01,431181.000000,433720.000000,429000.000000,430000.000000,430000.000000,1000
2021-09-02,429606.000000,431317.000000,428000.000000,428640.000000,428640.000000,1000
2021-09-03,428825.000000,428825.000000,424201.000000,424201.000000,424201.000000,1400
2021-09-07,424688.000000,428103.000000,419500.000000,419851.000000,419851.000000,1800
2021-09-08,419733.000000,421456.000000,417925.000000,420719.000000,420719.000000,1100
2021-09-09,420270.000000,421490.000000,419136.000000,420285.000000,420285.000000,1000
2021-09-10,421028.000000,421291.000000,417942.000000,417954.000000,417954.000000,900
2021-09-13,418510.000000,422523.000000,417687.000000,420801.000000,420801.000000,1300
2021-09-14,422300.000000,422500.000000,416050.000000,416996.000000,416996.000000,1500
2021-09-15,417358.000000,419998.000000,416629.000000,419785.000000,419785.000000,900
2021-09-16,420170.000000,420800.000000,416215.000000,419120.000000,419120.000000,800
2021-09-17,418705.000000,421124.000000,415000.000000,416400.000000,416400.000000,1600
2021-09-20,411704.000000,416000.000000,409000.000000,416000.000000,416000.000000,1800
2021-09-21,416571.000000,416571.000000,411281.000000,412802.000000,412802.000000,1400
2021-09-22,415671.000000,416762.000000,411920.000000,412081.000000,412081.000000,900
2021-09-23,414298.000000,420949.000000,413700.000000,418390.000000,418390.000000,1100
2021-09-24,418475.000000,420090.000000,417561.000000,418101.000000,418101.000000,900
2021-09-27,419638.000000,422203.000000,418928.000000,420791.000000,420791.000000,900
2021-09-28,419976.000000,423225.000000,415395.000000,416580.000000,416580.000000,1000
2021-09-29,417200.000000,419719.000000,415301.000000,417165.000000,417165.000000,800
2021-09-30,419311.000000,419735.000000,411005.000000,411379.000000,411379.000000,1300
2021-10-01,412915.000000,417653.000000,410099.000000,414878.000000,414878.000000,1000
2021-10-04,415146.000000,416804.000000,411286.000000,412540.000000,412540.000000,1400
2021-10-05,413313.000000,420959.000000,411659.000000,418539.000000,418539.000000,900
2021-10-06,416406.000000,421900.000000,413662.000000,421900.000000,421900.000000,1100
2021-10-07,424999.000000,428655.000000,423516.000000,425431.000000,425431.000000,1200
2021-10-08,425643.000000,428479.000000,424000.000000,427765.000000,427765.000000,1300
2021-10-11,427172.000000,429786.000000,423000.000000,423000.000000,423000.000000,1600
2021-10-12,423252.000000,424859.000000,419000.000000,419596.000000,419596.000000,1100
2021-10-13,417906.000000,422180.000000,415265.000000,418402.000000,418402.000000,1200
2021-10-14,420866.000000,427379.000000,420750.000000,423648.000000,423648.000000,1200
2021-10-15,429300.000000,429300.000000,424945.000000,427701.000000,427701.000000,1200
2021-10-18,428950.000000,428950.000000,424001.000000,426189.000000,426189.000000,1500
2021-10-19,429335.000000,429500.000000,425841.000000,428105.000000,428105.000000,1300
2021-10-20,428113.000000,433000.000000,426111.000000,432495.000000,432495.000000,1700
2021-10-21,432689.000000,434800.000000,429436.000000,431680.000000,431680.000000,1400
2021-10-22,431720.000000,436203.000000,429715.000000,435722.000000,435722.000000,1500
2021-10-25,435963.000000,437145.000000,433064.000000,436401.000000,436401.000000,1800
2021-10-26,437165.000000,439850.000000,435446.000000,437890.000000,437890.000000,1900
2021-10-27,437527.000000,439229.000000,433050.000000,433050.000000,433050.000000,3200
2021-10-28,434703.000000,436874.000000,432516.000000,436250.000000,436250.000000,2400
2021-10-29,435053.000000,436512.000000,431714.000000,432902.000000,432902.000000,2100
2021-11-01,434513.000000,435900.000000,430522.000000,430944.000000,430944.000000,2300
2021-11-02,434440.000000,434654.000000,429800.000000,434245.000000,434245.000000,1700
2021-11-03,433425.000000,435140.000000,431164.000000,435020.000000,435020.000000,1400
2021-11-04,436463.000000,438299.000000,429880.000000,433102.000000,433102.000000,2000
2021-11-05,434887.000000,437749.000000,432114.000000,434000.000000,434000.000000,1700
2021-11-08,439649.000000,445000.000000,434752.000000,435200.000000,435200.000000,2800
2021-11-09,435345.000000,437240.000000,430099.000000,431680.000000,431680.000000,2100
2021-11-10,431420.000000,433409.000000,428940.000000,430602.000000,430602.000000,1700
2021-11-11,431800.000000,434399.000000,428694.000000,429202.000000,429202.000000,1400
2021-11-12,432614.000000,432899.000000,427664.000000,431575.000000,431575.000000,1200
2021-11-15,432193.000000,434335.000000,429079.000000,429302.000000,429302.000000,1800
2021-11-16,429638.000000,431849.000000,427120.000000,427702.000000,427702.000000,1500
2021-11-17,427651.000000,429710.000000,424201.000000,426198.000000,426198.000000,1800
2021-11-18,428429.000000,428429.000000,422223.000000,422702.000000,422702.000000,1600
2021-11-19,422901.000000,424300.000000,420000.000000,423374.000000,423374.000000,1600
2021-11-22,425225.000000,432000.000000,422535.000000,430100.000000,430100.000000,1900
2021-11-23,432837.000000,435365.000000,430100.000000,434921.000000,434921.000000,2400
2021-11-24,434643.000000,437139.000000,431497.000000,433333.000000,433333.000000,1500
2021-11-26,424233.000000,429803.000000,421091.000000,427833.000000,427833.000000,1600
2021-11-29,429048.000000,432135.000000,425000.000000,425260.000000,425260.000000,1900
2021-11-30,423823.000000,426125.000000,416546.000000,416876.000000,416876.000000,1900
2021-12-01,421535.000000,424669.000000,415000.000000,415660.000000,415660.000000,2000
2021-12-02,417776.000000,422999.000000,415526.000000,420566.000000,420566.000000,1200
2021-12-03,421420.000000,426000.000000,416100.000000,418676.000000,418676.000000,1700
2021-12-06,423201.000000,428000.000000,420000.000000,426200.000000,426200.000000,1700
2021-12-07,430739.000000,431679.000000,426200.000000,429830.000000,429830.000000,1300
2021-12-08,430115.000000,432745.000000,426000.000000,427405.000000,427405.000000,1200
2021-12-09,428933.000000,430650.000000,425414.000000,428402.000000,428402.000000,1300
2021-12-10,431254.000000,435000.000000,428402.000000,435000.000000,435000.000000,1600
2021-12-13,435861.000000,439700.000000,430932.000000,437730.000000,437730.000000,2100
2021-12-14,436865.000000,446724.000000,434981.000000,446104.000000,446104.000000,2200
2021-12-15,445928.000000,447794.000000,441611.000000,443702.000000,443702.000000,2500
2021-12-16,447540.000000,454550.000000,444655.000000,454550.000000,454550.000000,2200
2021-12-17,448850.000000,449949.000000,441200.000000,443304.000000,443304.000000,2300
2021-12-20,438290.000000,439949.000000,434055.000000,437445.000000,437445.000000,1800
2021-12-21,441315.000000,445379.000000,439385.000000,443000.000000,443000.000000,1300
2021-12-22,441460.000000,444588.000000,440300.000000,444588.000000,444588.000000,1200
2021-12-23,445395.000000,448250.000000,443525.000000,444654.000000,444654.000000,1500
2021-12-27,444205.000000,447285.000000,444020.000000,447110.000000,447110.000000,2500
2021-12-28,447562.000000,452244.000000,446405.000000,449570.000000,449570.000000,1500
2021-12-29,452370.000000,453499.000000,450655.000000,452102.000000,452102.000000,1400
2021-12-30,453728.000000,455000.000000,452545.000000,452700.000000,452700.000000,1600
2021-12-31,449945.000000,455910.000000,449945.000000,450662.000000,450662.000000,1500
2022-01-03,452005.000000,454800.000000,451020.000000,454300.000000,454300.000000,2700
2022-01-04,458675.000000,466195.000000,452376.000000,465725.000000,465725.000000,2300
2022-01-05,468500.000000,474181.000000,466050.000000,467274.000000,467274.000000,2200
2022-01-06,470900.000000,473544.000000,467236.000000,473153.000000,473153.000000,1900
2022-01-07,474696.000000,480888.000000,472610.000000,480000.000000,480000.000000,2400
2022-01-10,483800.000000,483800.000000,473373.000000,477165.000000,477165.000000,2600
2022-01-11,479353.000000,480935.000000,473185.000000,480340.000000,480340.000000,1700
2022-01-12,481190.000000,483250.000000,477094.000000,481700.000000,481700.000000,1700
2022-01-13,482058.000000,485800.000000,481166.000000,483872.000000,483872.000000,1800
2022-01-14,480280.000000,486999.000000,476336.000000,485379.000000,485379.000000,2000
2022-01-18,484930.000000,487255.000000,477585.000000,480081.000000,480081.000000,2800
2022-01-19,483000.000000,484850.000000,472560.000000,473440.000000,473440.000000,1800
2022-01-20,473973.000000,476625.000000,466602.000000,467390.000000,467390.000000,1800
2022-01-21,465040.000000,466989.000000,456623.000000,458675.000000,458675.000000,2300
2022-01-24,449333.000000,457999.000000,445000.000000,456901.000000,456901.000000,3700
2022-01-25,453012.000000,464728.000000,443402.000000,461919.000000,461919.000000,2100
2022-01-26,466162.000000,470770.000000,460206.000000,463652.000000,463652.000000,2000
2022-01-27,469000.000000,473900.000000,458201.000000,461200.000000,461200.000000,1900
2022-01-28,462560.000000,469880.000000,456281.000000,469880.000000,469880.000000,2000
2022-01-31,467665.000000,470739.000000,462151.000000,469805.000000,469805.000000,2600
2022-02-01,469465.000000,471888.000000,465460.000000,471184.000000,471184.000000,1900
2022-02-02,470620.000000,480400.000000,469001.000000,479500.000000,479500.000000,1900
2022-02-03,478840.000000,481029.000000,472081.000000,472536.000000,472536.000000,1600
2022-02-04,471990.000000,476888.000000,469101.000000,473364.000000,473364.000000,2000
2022-02-07,474100.000000,477350.000000,468253.000000,474900.000000,474900.000000,2000
2022-02-08,477670.000000,484200.000000,474112.000000,482030.000000,482030.000000,1700
2022-02-09,485650.000000,488400.000000,482502.000000,483900.000000,483900.000000,1800
2022-02-10,481000.000000,483726.000000,478000.000000,480105.000000,480105.000000,1800
2022-02-11,481068.000000,484850.000000,476886.000000,479370.000000,479370.000000,1600
2022-02-14,479208.000000,481054.000000,468563.000000,472410.000000,472410.000000,2200
2022-02-15,475390.000000,476980.000000,472456.000000,473980.000000,473980.000000,1500
2022-02-16,472983.000000,475780.000000,471401.000000,474444.000000,474444.000000,1300
2022-02-17,474829.000000,474829.000000,469182.000000,470655.000000,470655.000000,1400
2022-02-18,471528.000000,473920.000000,469091.000000,472257.000000,472257.000000,1500
2022-02-22,470733.000000,473460.000000,466257.000000,471418.000000,471418.000000,2400
2022-02-23,474975.000000,475989.000000,464400.000000,465515.000000,465515.000000,1700
2022-02-24,452928.000000,463490.000000,450000.000000,462110.000000,462110.000000,2800
2022-02-25,467598.000000,482579.000000,465326.000000,479345.000000,479345.000000,2200
2022-02-28,476700.000000,483638.000000,473930.000000,476205.000000,476205.000000,2400
2022-03-01,482000.000000,482151.000000,470645.000000,475879.000000,475879.000000,1800
2022-03-02,479175.000000,488765.000000,477091.000000,486109.000000,486109.000000,1600
2022-03-03,490797.000000,494420.000000,485855.000000,491245.000000,491245.000000,1900
2022-03-04,485375.000000,488298.000000,480341.000000,487440.000000,487440.000000,2000
2022-03-07,491039.000000,492059.000000,480888.000000,484527.000000,484527.000000,2400
2022-03-08,486690.000000,491500.000000,476921.000000,478025.000000,478025.000000,2000
2022-03-09,491339.000000,491550.000000,484184.000000,488245.000000,488245.000000,1700
2022-03-10,484252.000000,490800.000000,482520.000000,487820.000000,487820.000000,1600
2022-03-11,490155.000000,497333.000000,488551.000000,489802.000000,489802.000000,1800
2022-03-14,493988.000000,500023.000000,491947.000000,493785.000000,493785.000000,2900
2022-03-15,498673.000000,501939.000000,494023.000000,498160.000000,498160.000000,2600
2022-03-16,502201.000000,506029.000000,497613.000000,504036.000000,504036.000000,2500
2022-03-17,505385.000000,518438.000000,503641.000000,518438.000000,518438.000000,2900
2022-03-18,515731.000000,520654.000000,508853.000000,512991.000000,512991.000000,3500
2022-03-21,517231.000000,526733.000000,515970.000000,525000.000000,525000.000000,3300
2022-03-22,526201.000000,532530.000000,523500.000000,525854.000000,525854.000000,3700
2022-03-23,523066.000000,528015.000000,519151.000000,521781.000000,521781.000000,3000
2022-03-24,528414.000000,528817.000000,523778.000000,528817.000000,528817.000000,2100
2022-03-25,531088.000000,538949.000000,529981.000000,538949.000000,538949.000000,2600
2022-03-28,540913.000000,544000.000000,533345.000000,539180.000000,539180.000000,3800
2022-03-29,544389.000000,544389.000000,528750.000000,532011.000000,532011.000000,3700
2022-03-30,531305.000000,537371.000000,527650.000000,536440.000000,536440.000000,2300
2022-03-31,538660.000000,540420.000000,528921.000000,528921.000000,528921.000000,2300
2022-04-01,530026.000000,533139.000000,523662.000000,527760.000000,527760.000000,2600
2022-04-04,529375.000000,532029.000000,516593.000000,518714.000000,518714.000000,4000
2022-04-05,520074.000000,524425.000000,516000.000000,516000.000000,516000.000000,2400
2022-04-06,511475.000000,520369.000000,510241.000000,517002.000000,517002.000000,2100
2022-04-07,519111.000000,521855.000000,513905.000000,519760.000000,519760.000000,2000
2022-04-08,524139.000000,531040.000000,520276.000000,529000.000000,529000.000000,2100
2022-04-11,528413.000000,531880.000000,524086.000000,527590.000000,527590.000000,2400
2022-04-12,529165.000000,531000.000000,522693.000000,524271.000000,524271.000000,2100
2022-04-13,524135.000000,525900.000000,517973.000000,519800.000000,519800.000000,2000
2022-04-14,519163.000000,521674.000000,516435.000000,516435.000000,516435.000000,1600
2022-04-18,516774.000000,521019.000000,514600.000000,519499.000000,519499.000000,3300
2022-04-19,522339.000000,524208.000000,519001.000000,523260.000000,523260.000000,4200
2022-04-20,525288.000000,526699.000000,521000.000000,522901.000000,522901.000000,4500
2022-04-21,524394.000000,526900.000000,515000.000000,515815.000000,515815.000000,3900
2022-04-22,515050.000000,517444.000000,504514.000000,505440.000000,505440.000000,3500
2022-04-25,501835.000000,509650.000000,495150.000000,506200.000000,506200.000000,4300
2022-04-26,506789.000000,507419.000000,497777.000000,497777.000000,497777.000000,2800
2022-04-27,498093.000000,502799.000000,495069.000000,496800.000000,496800.000000,2500
2022-04-28,497010.000000,502329.000000,494335.000000,499000.000000,499000.000000,2700
2022-04-29,495206.000000,500000.000000,484340.000000,484340.000000,484340.000000,3100
2022-05-02,485921.000000,492125.000000,470692.000000,478150.000000,478150.000000,4100
2022-05-03,480541.000000,487713.000000,478150.000000,481198.000000,481198.000000,2400
2022-05-04,486664.000000,494343.000000,477712.000000,494343.000000,494343.000000,2400
2022-05-05,487900.000000,493850.000000,476748.000000,481400.000000,481400.000000,2900
2022-05-06,482864.000000,483795.000000,475000.000000,479500.000000,479500.000000,2500
2022-05-09,477825.000000,478000.000000,468902.000000,471200.000000,471200.000000,3300
2022-05-10,478465.000000,478750.000000,466052.000000,469780.000000,469780.000000,2400
2022-05-11,474535.000000,476600.000000,466725.000000,468000.000000,468000.000000,2300
2022-05-12,460431.000000,464845.000000,454670.000000,461631.000000,461631.000000,3000
2022-05-13,466106.000000,469144.000000,462327.000000,465011.000000,465011.000000,2400
2022-05-16,465135.000000,468058.000000,461007.000000,464250.000000,464250.000000,1800
2022-05-17,470771.000000,478709.000000,468331.000000,471670.000000,471670.000000,2200
2022-05-18,471053.000000,473285.000000,458620.000000,461000.000000,461000.000000,2500
2022-05-19,457940.000000,459694.000000,452000.000000,456031.000000,456031.000000,3300
2022-05-20,462425.000000,462425.000000,448108.000000,456500.000000,456500.000000,2400
2022-05-23,462639.000000,469080.000000,459371.000000,464510.000000,464510.000000,2300
2022-05-24,465580.000000,465580.000000,455721.000000,463606.000000,463606.000000,1900
2022-05-25,462230.000000,466541.000000,459141.000000,462890.000000,462890.000000,1700
2022-05-26,465146.000000,471602.000000,464951.000000,468805.000000,468805.000000,1800
2022-05-27,472795.000000,478670.000000,470021.000000,478670.000000,478670.000000,1900
2022-05-31,477890.000000,479309.000000,472110.000000,474050.000000,474050.000000,2900
2022-06-01,476594.000000,476594.000000,464900.000000,469620.000000,469620.000000,2100
2022-06-02,472134.000000,472886.000000,463312.000000,472710.000000,472710.000000,2100
2022-06-03,469925.000000,471789.000000,465850.000000,467650.000000,467650.000000,1900
2022-06-06,472900.000000,473900.000000,467632.000000,468400.000000,468400.000000,2000
2022-06-07,467650.000000,471500.000000,464551.000000,471500.000000,471500.000000,1800
2022-06-08,472090.000000,472090.000000,462301.000000,463300.000000,463300.000000,2100
2022-06-09,464275.000000,464275.000000,451757.000000,452260.000000,452260.000000,2000
2022-06-10,448000.000000,448500.000000,439005.000000,439780.000000,439780.000000,2700
2022-06-13,432489.000000,433869.000000,422438.000000,423700.000000,423700.000000,3200
2022-06-14,421651.000000,428220.000000,414200.000000,415500.000000,415500.000000,2300
2022-06-15,423688.000000,426715.000000,411427.000000,418600.000000,418600.000000,2200
2022-06-16,413375.000000,413375.000000,400669.000000,403971.000000,403971.000000,2800
2022-06-17,406209.000000,406209.000000,399022.000000,403150.000000,403150.000000,2200
2022-06-21,412749.000000,412749.000000,405700.000000,407800.000000,407800.000000,2700
2022-06-22,402568.000000,410483.000000,400741.000000,405649.000000,405649.000000,1900
2022-06-23,406413.000000,408499.000000,396500.000000,402300.000000,402300.000000,2600
2022-06-24,405489.000000,419859.000000,402550.000000,417401.000000,417401.000000,2100
2022-06-27,423279.000000,424085.000000,416750.000000,417700.000000,417700.000000,2400
2022-06-28,421977.000000,423728.000000,411287.000000,412170.000000,412170.000000,1900
2022-06-29,415239.000000,415239.000000,410000.000000,411050.000000,411050.000000,1600
2022-06-30,407634.000000,412869.000000,403567.000000,408950.000000,408950.000000,1700
2022-07-01,407700.000000,417869.000000,407700.000000,415850.000000,415850.000000,1700
2022-07-05,414924.000000,414924.000000,407993.000000,413844.000000,413844.000000,2600
2022-07-06,415539.000000,416500.000000,409661.000000,414148.000000,414148.000000,1700
